ID;MODELO;FORNECEDOR;ARM_DE_RECEBIMENTO;CODIGO;NIVEL;TRIAGEM_ESPECIAL;CONSUMO;ESTACAO;LADO;GRUPO_DE_ENVIO;CLASSIF;SUB_GRUPO_1;SUB_GRUPO_2;QUANT_MINIMA;QUANT_MAXIMA;QTD_ENVIO;LISTA_TRIAGEM;ETIQ_DESOVA;MODULO_FLOW_RACK;MODELO_CONCATENADO;QTY_KLT;FORNECEDOR_NAC;OBSERVACAO;ENTRADA;ALTERACAO;DESCRICAO;RECEITA;CLASSIF_1;PORTA;PTL;CODIGO_UNICO;USUARIO;QA_REPARO;SEQ_PBS;QTD_CASE;MODULO
19668;C928;CKD;RG LOG;0912806003S343;;(F07C05N1G);;T20 / T24;;SACI MIUDEZA;LEV2+LEV4;M-14_N-04;F07C05N1G;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;20;;3;;;21032026;27042026;PARAFUSO;...;...;;;19668...;8153;;;;
19669;C928;CKD;RG LOG;0912806003S343;;(F07C05N1G);;T16 / T17;;SACI MIUDEZA;LEV2+LEV4;M-14_N-04;F07C05N1G;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;19;;3;;;21032026;27042026;PARAFUSO;...;...;;;19669...;8153;;;;
19670;C928;CKD;RG LOG;0912206006S343;;(F07C06N1C);;T17;;SACI MIUDEZA;LEV2+LEV4;M-14_N-04;F07C06N1C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;105;;3;;;21032026;21032026;PARAFUSO;...;...;;;19670...;116267;;;;
19671;C928;CKD;RG LOG;0912008002S345;;(F06C07N2A);;T16 / T20;;SACI MIUDEZA;LEV2+LEV4;M-14_N-04;F06C07N2A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;19;;3;;;21032026;21032026;PARAFUSO HEXAGONAL;...;...;;;19671...;116267;;;;
19672;C928;CKD;RG LOG;915906010;;(F05C03N1H);;T14 / T15;;SACI MIUDEZA;LEV2+LEV4;M-14_N-03;F05C03N1H;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;287;;3;;;21032026;21032026;PORCA;;;;;19672;114232;;;;
19673;C928;CKD;RG LOG;0915906004S235;;(F04C07N2F);;T12;;SACI MIUDEZA;LEV2+LEV4;M-14_N-03;F04C07N2F;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;15;;3;;;21032026;21032026;"PORCA COM ARRUELA	";...;...;;;19673...;116267;;;;
19674;C928;CKD;RG LOG;0911806002S345;;(F04C06N1A);;T13;;PESAGEM (MIUDEZA/WH001);LEV2+LEV4;M-14_N-03;F04C06N1A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;287;;3;;;21032026;1042026;PARAFUSO;...;...;;;19674...;114232;;;;
19675;C928;CKD;RG LOG;0911606016S235;;(F07C02N2D);;T13;;SACI MIUDEZA;LEV2+LEV4;M-14_N-03;F07C02N2D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;287;;3;;;21032026;25042026;PARAFUSO DE FLANGE HEXAGONAL COM ARRUELAS LISAS;...;...;;;19675...;116267;;;;
19676;C928;CKD;RG LOG;0911606009S355;;(F07C02N2H);;T10;;SACI MIUDEZA;LEV2+LEV4;M-14_N-03;F07C02N2H;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;10;;3;;;21032026;21032026;PARAFUSO COM ARRUELA;;;;;19676;114232;;;;
19677;C928;CKD;RG LOG;0910310028S354;;(F05C08N1E);;T13;;SACI MIUDEZA;LEV2+LEV4;M-14_N-03;F05C08N1E;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;15;;3;;;21032026;21032026;PARAFUSO;;;;;19677;114232;;;;
19678;C928;CKD;RG LOG;5822600MK06DS01;3;;1;T10;LE;SUSHI BOX;LEV2+LEV4;RANGE 1;S01F12C06N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;;29042026;AIRBAG DE CORTINA LD;C000;C000;;17;196781LEC00017;116874;;;;
19679;C928;CKD;RG LOG;5822500MK06DS01;3;;1;T10;LE;SUSHI BOX;LEV2+LEV4;RANGE 1;S01F12C04N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;;29042026;AIRBAG DE CORTINA LE;C000;C000;;11;196791LEC00011;116874;;;;
19680;C928;CKD;RG LOG;4000080DS80;2;;1;T08;LD;SUSHI BOX;LEV2;RANGE 1;S01F11C03N2B;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;;;CHICOTE ELETRICO DA PORTA TRASEIRA LD;G720;G720;;17;196801LDG72017;116874;;;;
